rx0,ry0,rx1,ry1,rx2,ry2,rx3,ry3,rx4,ry4,rx5,ry5,rx6,ry6,rx7,ry7,rx8,ry8,rx9,ry9,rx10,ry10,rx11,ry11,rx12,ry12,rx13,ry13,rx14,ry14,rx15,ry15,rx16,ry16,rx17,ry17,rx18,ry18,rx19,ry19,rx20,ry20,label
0.0,0.0,-0.5231965049257766,-0.38324354739650607,-0.8737552138112883,-1.323242890854723,-0.9666639437935379,-2.2127589343327365,-0.9852293093150837,-2.8814446663867397,-0.5487004079736894,-2.107887493890099,-0.6259467565979826,-2.6965248233551256,-0.5539611877674379,-1.9605227851150047,-0.4773187657431504,-1.5862603708276248,-0.22247001350786025,-2.1194452426097974,-0.3010905019713445,-2.5963846928103416,-0.2882516842925928,-1.72636720554539,-0.23075456278519896,-1.5228348410796269,0.0928855656743043,-2.0123065955270025,0.027403376299437596,-2.508213063802932,-0.01936122495881349,-1.6657470389489255,0.01281482607409396,-1.4078257067240172,0.41264649984966123,-1.8325978944863959,0.325935049539525,-2.2351786752370577,0.2385667256397935,-1.680571368737285,0.2532297325692474,-1.4619375300845296,A
0.0,0.0,-0.5368988261423173,-0.42146297203480143,-0.9077380300428968,-1.3109130039985195,-1.0081567716149717,-2.214593943456828,-0.9373523211103771,-2.887361436837697,-0.5607064435765531,-2.097782869372654,-0.6343303292764005,-2.7393091468452773,-0.5686178979854684,-2.022374903003182,-0.49151188205051694,-1.6122126701633719,-0.23800377192797834,-2.111161557860341,-0.3144530553748512,-2.6654838120748323,-0.2948754425266052,-1.7894921112546178,-0.23423203203535592,-1.5127598619784322,0.07603275661591254,-2.011336941982733,0.01908527643046466,-2.5862006129498307,-0.02879486609532526,-1.7255037092190306,-0.003444651338248642,-1.3906493570582266,0.4030761659548224,-1.8311473497299822,0.3112366845901759,-2.2909491037650076,0.22717322252989933,-1.7332524711438695,0.2381673162051652,-1.4821447140062924,A
0.0,0.0,-0.5372292340878366,-0.3970091453090168,-0.901640525582947,-1.3130637571772525,-0.9972984153272524,-2.225684826908749,-0.976550313856708,-2.8984939870830697,-0.5633691426418362,-2.0791099264595427,-0.6325934265319411,-2.7249880628088037,-0.564966652234258,-2.0021111524753947,-0.49098294417587013,-1.5923614013069434,-0.23747379044329134,-2.0887064433017977,-0.31113918495377374,-2.6527126374575087,-0.2940801252944222,-1.772537904291117,-0.23872921907623063,-1.501412854399384,0.07734085494363123,-1.9926767633335387,0.02079054327693175,-2.5684423087850075,-0.026639024197115467,-1.7035818526173805,-0.004430075750716809,-1.3758165144294068,0.4036843926176271,-1.824592779825263,0.3178050950649787,-2.2813544710929095,0.23522182819637588,-1.7210152490090689,0.24478566484771258,-1.4727391700040566,A
0.0,0.0,-0.5222856112076382,-0.3860648082612721,-0.8884056612792282,-1.2910993853549093,-0.991275964237711,-2.189567145549346,-0.9656304170862726,-2.862919452045385,-0.5586857426483893,-2.067184255930276,-0.6236016130527118,-2.703461636843644,-0.553630262441577,-1.9812798446373472,-0.4809336196343019,-1.574843161295066,-0.23250491289420752,-2.0794223764042576,-0.30230861801939735,-2.6183276365903985,-0.2832871736618543,-1.742067427426086,-0.2310491772172584,-1.4888123840579581,0.08310077221139647,-1.9815831229033791,0.03010036790358359,-2.538252065082661,-0.015439391059865,-1.6830747500452758,0.005647715265200795,-1.3762447585431319,0.40732461471005005,-1.8087355722563656,0.32084228983240715,-2.240322027029088,0.24140191780408007,-1.6859424145385251,0.2534909264639296,-1.4531763453596798,A
0.0,0.0,-0.5238489925609825,-0.41484453489532985,-0.8890722218862867,-1.3219037057387764,-0.9997441020504447,-2.219632947640205,-0.9740038506155018,-2.8978950220150694,-0.5651153658560545,-2.0933823348297045,-0.6324291696926644,-2.7329933011208936,-0.5580264866944697,-2.0029206336207137,-0.48566374450360683,-1.5986305012884423,-0.23887927479733106,-2.1063449537035823,-0.3076687263310915,-2.647061218892576,-0.28546952023266914,-1.7632572883966044,-0.23504632445343848,-1.5140416912306758,0.07705613345764833,-2.010198317619915,0.024409707680410446,-2.568735638077286,-0.01865222083442613,-1.7043773330142669,-0.00011625286630801054,-1.3946253892613785,0.4016349847506817,-1.8377159764252833,0.32230470763094965,-2.2861113431054254,0.24284544922889048,-1.7239375141913906,0.250826166072882,-1.4832406215865286,A
0.0,0.0,-0.5309826138332313,-0.4189606295430097,-0.8917732931627762,-1.3311280332746147,-0.9919828135433209,-2.228932862625217,-0.9737366545899488,-2.900198645188536,-0.565034885797624,-2.0889828507578336,-0.6301566809911889,-2.728423474768056,-0.5577570804817135,-2.012553618512541,-0.4850789320489092,-1.60053552079718,-0.2390703167361876,-2.100845690355772,-0.3052055522465447,-2.647484560110573,-0.2829970702500757,-1.7742012611653593,-0.2319525283124022,-1.503107246398809,0.0766294650230037,-2.005043407710449,0.02359360176110712,-2.5700892999609715,-0.018961578391709012,-1.7108455783367302,-0.001351253755722789,-1.3828101028301198,0.4012089143198019,-1.8314085700754053,0.3204630359131364,-2.2878825776939573,0.2419616272473363,-1.7290993571421083,0.24899644394927906,-1.4795559771488462,A
0.0,0.0,-0.5150047708376766,-0.4185681691020337,-0.8798043764779976,-1.3129597148360472,-0.9952180192262565,-2.1988669811003057,-0.968168328137745,-2.879116121124488,-0.5599085712181322,-2.0961864917798927,-0.6360583255263422,-2.709564374415735,-0.5588310955041441,-1.9967775722738652,-0.48107017829236115,-1.5888541056259222,-0.23592761780202898,-2.1108856174968142,-0.31369611101492584,-2.6305088027913635,-0.2883686975129922,-1.7598755965507875,-0.23008483738734797,-1.5077109248056983,0.07948740368786858,-2.00844293043359,0.01822701690233213,-2.552782819362495,-0.02238119084649733,-1.706953019880136,0.003477384511316401,-1.402783309377088,0.4026627756521854,-1.8252101883798417,0.3141826586420236,-2.252643541452083,0.23425416333374113,-1.7072762625943323,0.2482453538354574,-1.4783067809265424,A
0.0,0.0,-0.5540113509279175,-0.4308278080780785,-0.9283001712043029,-1.347375203716389,-1.029279448910913,-2.260081402257284,-1.007904367319886,-2.9573844263599707,-0.5507504106434299,-2.1835883611985913,-0.6898480974454673,-2.7950086559635614,-0.6233503233366864,-2.021222032850913,-0.5260585948435953,-1.637009190174131,-0.2296812688557309,-2.1854956550422693,-0.376664783084351,-2.697692034796542,-0.34894636148217273,-1.786320598598995,-0.2502623599852809,-1.5834796408134522,0.08146427971560548,-2.074242140764146,-0.058623963835128516,-2.594036794642738,-0.08322822609218408,-1.7234494295710143,-0.003407721223852588,-1.4860325477003316,0.4067308413483018,-1.895142785328865,0.24469927654654322,-2.2934500316569455,0.171937990656792,-1.7169284073701057,0.23300057816873793,-1.5165011805874529,A
0.0,0.0,-0.5489412387733336,-0.44059013350172055,-0.9234133801039495,-1.349688716478943,-1.0300596482926803,-2.252485751416293,-1.0084844931411172,-2.9497066326157886,-0.5508708706804307,-2.1914578176217354,-0.6947000903844437,-2.7924836739674705,-0.624536649372982,-2.031867220357306,-0.5273978294557246,-1.6450622515333087,-0.2309912678045849,-2.195516994390289,-0.3805210096921255,-2.6874967690994715,-0.34962030131769056,-1.787869598582207,-0.2521545851102579,-1.585802217491785,0.08070820585727052,-2.0841358779670904,-0.062257870361397995,-2.589626937005759,-0.08296130207249379,-1.7317455381380333,-0.002717271787361807,-1.4987628627494678,0.4056405443048794,-1.899812273068186,0.24465141435544924,-2.290948403238127,0.17357249213239456,-1.7203839615645427,0.2349277512148836,-1.5228373588282758,A
0.0,0.0,-0.555768145329944,-0.4399037427707832,-0.9279781809273079,-1.356318695552009,-1.0302459402575126,-2.2693803121708718,-1.0234741712409996,-2.974464422551173,-0.5669245191523676,-2.184673241985183,-0.6920532087950858,-2.798972306852049,-0.6284614497395619,-2.0501851898274843,-0.5374348612381854,-1.640648197239149,-0.24665050863927693,-2.199215500315863,-0.3819428475546921,-2.7075572795385066,-0.352802656091147,-1.8156769272770117,-0.2610882696489332,-1.5878188057136637,0.06739734591871228,-2.094511325988509,-0.0630975381192062,-2.614613764771135,-0.08518416041364123,-1.7625306176467819,-0.014556819432790016,-1.503904887325255,0.39613992211182625,-1.915455594681845,0.24404064521993526,-2.307948388982856,0.1720257168615542,-1.7437476524604534,0.2258838074243317,-1.5388498193181332,A
